组合,设施,设施,设施
爱鸟家,巢箱,鸟巢,野鸟观察小屋
便利,电话亭,垃圾箱,公共厕所
潮气,蘑菇屋,洞窟,
哧溜哧溜,钓鱼区域,滑梯,大型滑梯
冲破长空,火箭展望台,蹦床,喷射号
船船,海盗船,船,鸭子船
春季植物,乙女椿树,樱花树,山茱萸
大自然,湖,火山,风车
弹簧动物,啊哦号,噶哦噶哦号,噗嗤号
登山,轮胎怪兽,攀登架,图腾柱
动物像,尼斯君,白熊君,
儿童,单杠,熊猫号,滑梯
房子,气球屋,开罗小屋,蘑菇屋
负离子,瀑布,喷泉,
高个子,火箭展望台,神圣之树,图腾柱
高科技交通工具,跑车号,火箭展望台,喷射号
公用,电话亭,自动贩卖机,
海之动物,钓鱼区域,乌龟的石像,白熊君
和风,樱花树,地藏菩萨,
和风之植物,松树,樱花树,
户外派,篝火,烤肉广场,滑板
花鸟风月,湖,鸟巢,大枫叶树
花园,圆形花坛,霸王花,植物园
滑梯,滑梯,鲸鱼滑梯,
怀念之味,冰糖店,烤番薯店,
基础动物,岩山,饲料箱,轮胎
基础广场,看板,垃圾箱,长椅
健康,平衡木,悬吊架,体育馆
开花接力,向日葵,波斯菊,多色虞美人
烤番薯,篝火,芋田,大枫叶树
枯山水,松树,岩石,
老人,门球场,长椅,
零食,章鱼烧店,松树,长椅
轮胎祭典,废轮胎,轮胎怪兽,
冒险,古井,洞窟,废屋
美食家,章鱼烧店,糖果之家,可丽饼店
梦幻乐园,蘑菇屋,糖果之家,海盗船
木制游乐,体育运动,滑板,图腾柱
盆栽,植木,花坛,
扑隆,气球屋,废轮胎,蹦床
七彩长椅,红色长椅,蓝色长椅,
清洁,垃圾箱,花坛,
秋季植物,栗子树,银杏,大枫叶树
秋之味觉,蘑菇屋,芋田,栗子树
身心放松,喷泉,长椅,自动贩卖机
神社,樱花树,神圣之树,拱心石
试胆,废屋,古井,
室外用餐,长椅,可丽饼店,
室外用餐,长椅,章鱼烧店,
室外用餐,长椅,咖啡厅,
室外用餐,长椅,烤肉店,
室外用餐,长椅,汉堡包店,
室外用餐,长椅,便当店,
树荫,树桩,银杏,岩石
水上乐园,喷泉,戏水池,
玩水,鸭子船,饮水池,戏水池
卫生间,公共厕所,饮水池,
卫生间大集结,大型厕所,公共厕所,
休闲,饮水池,长椅,路灯
学校庭院,沙地,百叶箱,
寻宝,废屋,古井,海盗船
岩石,岩石,洞窟,拱心石
摇摆,悬吊架,秋千,吊椅秋千
业余,电话亭,秋千,休息地
饮食中心,咖啡厅,章鱼烧店,可丽饼店
应用公园,铝垃圾箱,圆柱形石头,
游乐场,滑梯,沙地,单杠
运动,自动贩卖机,网球场,
运动,自动贩卖机,体育馆,
运动,自动贩卖机,棒球场,
运动,自动贩卖机,门球场,
中型游乐设备,体育运动,开动圆顶,攀登架
自由自在,喷泉,长椅,
夏季植物,向日葵,紫薇花,薰衣草
